lrp,top0,max,1,-0.002138133393600583,0.017919527366757393
sglrp,top0,max,1,-0.0015723538817837834,0.017235174775123596
gcam,top0,max,1,-0.002265945542603731,0.02716626040637493
sggcam,top0,max,1,-0.0018415728118270636,0.028090916574001312
lcam,top0,max,1,-0.002946799388155341,0.025589339435100555
sglcam,top0,max,1,-0.002554465550929308,0.027200305834412575
lrp,top0,max,2,-0.004265251103788614,0.02808503992855549
sglrp,top0,max,2,-0.005714738741517067,0.028695233166217804
gcam,top0,max,2,-0.004570364952087402,0.031699083745479584
sggcam,top0,max,2,-0.005586434621363878,0.03362841531634331
lcam,top0,max,2,-0.005666094832122326,0.03124934993684292
sglcam,top0,max,2,-0.006124468054622412,0.03205917030572891
lrp,top0,max,3,-0.009322584606707096,0.04269261285662651
sglrp,top0,max,3,-0.012570338323712349,0.042188551276922226
gcam,top0,max,3,-0.010265055112540722,0.04440147429704666
sggcam,top0,max,3,-0.011408918537199497,0.045767899602651596
lcam,top0,max,3,-0.011083884164690971,0.04529543220996857
sglcam,top0,max,3,-0.011722004041075706,0.045098450034856796
lrp,top0,max,5,-0.023292798548936844,0.08355394750833511
sglrp,top0,max,5,-0.028941050171852112,0.07891831547021866
gcam,top0,max,5,-0.024673009291291237,0.07977765053510666
sggcam,top0,max,5,-0.0273483507335186,0.07794880121946335
lcam,top0,max,5,-0.0248564500361681,0.08076725155115128
sglcam,top0,max,5,-0.028334427624940872,0.08074954897165298
lrp,top0,max,10,-0.05365996062755585,0.13372276723384857
sglrp,top0,max,10,-0.06481911987066269,0.13104946911334991
gcam,top0,max,10,-0.05995871499180794,0.12957464158535004
sggcam,top0,max,10,-0.06691135466098785,0.1316172033548355
lcam,top0,max,10,-0.058841533958911896,0.1336730718612671
sglcam,top0,max,10,-0.0679197758436203,0.13227468729019165
lrp,top0,max,20,-0.10408343374729156,0.20218847692012787
sglrp,top0,max,20,-0.12348174303770065,0.19687257707118988
gcam,top0,max,20,-0.1432475596666336,0.22316782176494598
sggcam,top0,max,20,-0.14746558666229248,0.21067041158676147
lcam,top0,max,20,-0.13519196212291718,0.22206199169158936
sglcam,top0,max,20,-0.14502763748168945,0.21362833678722382
lrp,top0,min,1,-0.00021665227541234344,0.016033660620450974
lrp,top0,min,2,-0.000446523743448779,0.019390031695365906
lrp,top0,min,3,-8.477439405396581e-05,0.02505567856132984
lrp,top0,min,5,-0.00046203017700463533,0.03798210248351097
lrp,top0,min,10,-0.0021226005628705025,0.0604008249938488
lrp,top0,min,20,-0.006346499547362328,0.09658116102218628
sglrp,top0,min,1,0.0007639184477739036,0.017218008637428284
sglrp,top0,min,2,0.0017301096813753247,0.02412806637585163
sglrp,top0,min,3,0.004076946526765823,0.03138655796647072
sglrp,top0,min,5,0.006409898865967989,0.047356534749269485
sglrp,top0,min,10,0.006164380349218845,0.08871143311262131
sglrp,top0,min,20,-0.0035489313304424286,0.1352693885564804
gcam,top0,min,1,-0.001053148997016251,0.023227106779813766
gcam,top0,min,2,0.00016347710334230214,0.018712623044848442
gcam,top0,min,3,0.0009928373619914055,0.0239474605768919
gcam,top0,min,5,0.0022524252999573946,0.036740742623806
gcam,top0,min,10,0.004581050015985966,0.05722716450691223
gcam,top0,min,20,0.002595818368718028,0.0858491063117981
sggcam,top0,min,1,-8.928160241339356e-05,0.018951306119561195
sggcam,top0,min,2,0.001922426512464881,0.022061845287680626
sggcam,top0,min,3,0.00394870201125741,0.033842653036117554
sggcam,top0,min,5,0.0068158358335494995,0.047187112271785736
sggcam,top0,min,10,0.01335459016263485,0.06746921688318253
sggcam,top0,min,20,0.010005263611674309,0.11087743937969208
lcam,top0,min,1,-0.00028031959664076567,0.015864286571741104
lcam,top0,min,2,0.0002878854866139591,0.016421908512711525
lcam,top0,min,3,0.0003257064672652632,0.0285768061876297
lcam,top0,min,5,0.0013198696542531252,0.042238444089889526
lcam,top0,min,10,0.004461529199033976,0.05577061325311661
lcam,top0,min,20,0.005522111430764198,0.08664833754301071
sglcam,top0,min,1,0.0005419152439571917,0.01906193047761917
sglcam,top0,min,2,0.002241430338472128,0.023944595828652382
sglcam,top0,min,3,0.003137853229418397,0.036391571164131165
sglcam,top0,min,5,0.004999613855034113,0.04919976368546486
sglcam,top0,min,10,0.011730097234249115,0.0659283697605133
sglcam,top0,min,20,0.007557274773716927,0.11024933308362961
lrp,top1,max,1,-0.00011689344682963565,0.0022219140082597733
sglrp,top1,max,1,-0.00010382055188529193,0.002197420923039317
gcam,top1,max,1,2.486426819814369e-05,0.002732725813984871
sggcam,top1,max,1,1.0389946965005947e-06,0.002459307899698615
lcam,top1,max,1,-0.00023804437660146505,0.0046140351332724094
sglcam,top1,max,1,3.7843634345335886e-05,0.002609231974929571
lrp,top1,max,2,-0.00017449803999625146,0.0031195655465126038
sglrp,top1,max,2,-0.00029008460114710033,0.003652803134173155
gcam,top1,max,2,3.913270847988315e-05,0.002919987542554736
sggcam,top1,max,2,-0.00015484688628930598,0.002814356703311205
lcam,top1,max,2,-0.0001546137355035171,0.004544449038803577
sglcam,top1,max,2,-9.88781321211718e-05,0.0026904637925326824
lrp,top1,max,3,-0.00030559595325030386,0.00465955538675189
sglrp,top1,max,3,-0.0005241507315076888,0.005785322282463312
gcam,top1,max,3,-4.237426401232369e-05,0.004017320927232504
sggcam,top1,max,3,-0.00032944101258181036,0.004199666436761618
lcam,top1,max,3,-0.0001895650930237025,0.005352739244699478
sglcam,top1,max,3,-0.00014154630480334163,0.0034893869888037443
lrp,top1,max,5,-0.00040396919939666986,0.008368739858269691
